Gene,Predicted Label,Probability
ACVR1,[1],[0.6059634]
SERBP1,[1],[0.6058329]
SRRM2,[1],[0.6057433]
EXOC6B,[1],[0.6046247]
ATP6V0D1,[1],[0.6045963]
RPLP0,[1],[0.60390115]
IGF2BP2,[1],[0.6038863]
PSEN2,[1],[0.60220504]
LMNA,[1],[0.60216975]
ARHGDIA,[1],[0.60142475]
CTSO,[1],[0.6012916]
CSF1,[1],[0.60127676]
ALDH9A1,[1],[0.6012371]
CHSY3,[1],[0.6006503]
EIF4G3,[1],[0.5998159]
CHD9,[1],[0.5997989]
STAG1,[1],[0.5995618]
ARHGAP23,[1],[0.5990723]
ALDH3A2,[1],[0.5986534]
CSGALNACT1,[1],[0.59748405]
AASDHPPT,[1],[0.59591293]
RCCD1,[1],[0.5946876]
CERS6,[1],[0.59391737]
AMMECR1,[1],[0.59326833]
BICD1,[1],[0.5931211]
ENPP3,[1],[0.5923026]
CPNE1,[1],[0.5919062]
MT-ATP8,[1],[0.5916786]
SIPA1L1,[1],[0.5916633]
FMNL2,[1],[0.5910943]
ARL6IP5,[1],[0.5909234]
CRTC3,[1],[0.590496]
ARHGAP21,[1],[0.5904797]
NDUFAF6,[1],[0.5893613]
DR1,[1],[0.58922166]
MYO10,[1],[0.58826554]
RPL8,[1],[0.58820933]
STRN3,[1],[0.5876731]
UVSSA,[1],[0.5875228]
ERCC4,[1],[0.58733666]
CLTB,[1],[0.58678174]
ARHGEF10L,[1],[0.5862902]
S100A4,[1],[0.5858976]
ERC1,[1],[0.5858939]
CHORDC1,[1],[0.5858347]
CAP2,[1],[0.5852746]
COL27A1,[1],[0.5848801]
AK2,[1],[0.5848329]
CCNK,[1],[0.58410203]
VIM,[1],[0.5835491]
AKR1C3,[1],[0.5829373]
HDAC4,[1],[0.5818389]
GLI3,[1],[0.5812467]
CAPN2,[1],[0.5804196]
EHD2,[1],[0.58031636]
DNMT3B,[1],[0.5798435]
GATAD2B,[1],[0.5796889]
AHRR,[1],[0.579666]
CALD1,[1],[0.57878524]
PDE7B,[1],[0.57865375]
DUSP14,[1],[0.5785394]
EZH2,[1],[0.5785226]
FTH1,[1],[0.5782686]
AOC3,[1],[0.5776581]
ATXN10,[1],[0.5770794]
COX7C,[1],[0.57652414]
FADS2,[1],[0.5764843]
COA4,[1],[0.5763324]
BBS9,[1],[0.5761085]
QPRT,[1],[0.57600236]
EIF4G1,[1],[0.5757355]
AFF1,[1],[0.5756834]
AMHR2,[1],[0.57567805]
DDX3X,[1],[0.5753351]
PRKCA,[1],[0.5748505]
COL4A2,[1],[0.57454926]
IGFBP2,[1],[0.5740521]
NFIB,[1],[0.57399166]
MYO7A,[1],[0.57340175]
RNF43,[1],[0.5730462]
LRIG3,[1],[0.5728893]
PABPC1,[1],[0.5725235]
ARF1,[1],[0.5723104]
METTL1,[1],[0.5722188]
HNRNPA0,[1],[0.57169324]
NHS,[1],[0.5715625]
C1S,[1],[0.5714375]
CDK2AP1,[1],[0.57133883]
MACF1,[1],[0.5711062]
REEP1,[1],[0.5707165]
MRPL14,[1],[0.57031476]
RPL18,[1],[0.5701515]
COQ7,[1],[0.5700224]
PGAM1,[1],[0.56993395]
ADAM10,[1],[0.5698599]
COL4A3,[1],[0.569512]
ATF4,[1],[0.5694942]
EIF4B,[1],[0.5691839]
PDGFRB,[1],[0.56873643]
CBX2,[1],[0.56815475]
MTR,[1],[0.56810004]
CKAP5,[1],[0.5680959]
FOXN3,[1],[0.56762815]
ZNF317,[1],[0.56734437]
MASP1,[1],[0.56724805]
COL4A4,[1],[0.56697935]
BHLHE40,[1],[0.5668067]
PTPRJ,[1],[0.56672966]
IL6,[1],[0.566031]
CLINT1,[1],[0.56588143]
CIAPIN1,[1],[0.56526583]
DSE,[1],[0.5651594]
EIF3H,[1],[0.5647434]
DNAJA2,[1],[0.5647142]
COP1,[1],[0.56422955]
CDKN1B,[1],[0.56412566]
MTCL1,[1],[0.56395155]
YWHAE,[1],[0.56342876]
GTPBP1,[1],[0.56189454]
SLC25A6,[1],[0.5618406]
BSG,[1],[0.56147027]
BACH1,[1],[0.5613944]
CRMP1,[1],[0.56129944]
ATG16L1,[1],[0.56121427]
CCT8,[1],[0.56106144]
CIT,[1],[0.56066984]
SSRP1,[1],[0.5598686]
DGKD,[1],[0.5595889]
ZFPM2,[1],[0.5593419]
ISLR,[1],[0.55920815]
