Gene,Predicted Label,Probability
LRP6,[1],[0.9236665]
DNAH8,[1],[0.92319506]
IRAK4,[1],[0.9230059]
CCNB2,[1],[0.92299104]
ITGAV,[1],[0.9228835]
MS4A2,[1],[0.9228149]
PSME4,[1],[0.9228035]
PCBP1,[1],[0.9227281]
SFN,[1],[0.92155993]
FOSB,[1],[0.921315]
CRTAP,[1],[0.92124325]
CCR10,[1],[0.92115563]
MMP3,[1],[0.9210266]
LY96,[1],[0.9210042]
CXCR4,[1],[0.92041683]
PRLR,[1],[0.9203997]
JAK3,[1],[0.92013294]
NOS2,[1],[0.92002153]
NCOR2,[1],[0.9199637]
LTBP1,[1],[0.919846]
NODAL,[1],[0.9194083]
FGFR1,[1],[0.91911274]
ITPR1,[1],[0.91890687]
PDGFA,[1],[0.91890424]
FLT1,[1],[0.9186873]
PDGFB,[1],[0.91864806]
CCR7,[1],[0.9177005]
SHC3,[1],[0.91722393]
TYROBP,[1],[0.9163527]
TLR2,[1],[0.91572744]
POT1,[1],[0.91570175]
CCR4,[1],[0.9148983]
TAB3,[1],[0.91468227]
PPARGC1A,[1],[0.9144966]
LPL,[1],[0.91401446]
HLA-DRB1,[1],[0.91370255]
LCP2,[1],[0.91326773]
INSRR,[1],[0.91317]
GRIA2,[1],[0.91292435]
SRF,[1],[0.9127995]
MAPK14,[1],[0.91271794]
SPHK2,[1],[0.9124888]
SOCS3,[1],[0.912206]
SH3KBP1,[1],[0.91215265]
ESPL1,[1],[0.91095454]
HLA-DQB2,[1],[0.91081667]
HLA-B,[1],[0.9106297]
MYH11,[1],[0.91028434]
PLK1,[1],[0.9092432]
ROCK2,[1],[0.9088954]
PF4,[1],[0.9086755]
ITGA1,[1],[0.90843296]
CACNA1D,[1],[0.9081449]
HIF1A,[1],[0.9070243]
ARHGAP35,[1],[0.9061208]
TIAM2,[1],[0.9060113]
GRM1,[1],[0.9059726]
NRG1,[1],[0.9059524]
LIF,[1],[0.9056211]
RBBP5,[1],[0.90553176]
COL4A4,[1],[0.9052772]
TLN1,[1],[0.9052717]
CDKN1B,[1],[0.90524673]
TLE5,[1],[0.9048613]
PRMT6,[1],[0.90436804]
TEAD1,[1],[0.90434164]
TNFAIP3,[1],[0.9042884]
LEF1,[1],[0.9033197]
MYLK,[1],[0.90316373]
HLA-DRA,[1],[0.9027256]
RNF43,[1],[0.902471]
RPS6KA3,[1],[0.9023003]
PLCB2,[1],[0.90209246]
NOTCH3,[1],[0.9019691]
ZFP36L1,[1],[0.9018191]
MMP14,[1],[0.9015879]
MYO9A,[1],[0.90156615]
PPIB,[1],[0.9015571]
CDKN2C,[1],[0.9012685]
RXRB,[1],[0.9003427]
RHOG,[1],[0.900294]
WNK4,[1],[0.8999065]
B2M,[1],[0.8992719]
USP6,[1],[0.8989632]
CFH,[1],[0.89862293]
COL14A1,[1],[0.8982582]
VCAM1,[1],[0.8982154]
ITGA6,[1],[0.89802]
CCR8,[1],[0.89770603]
ITGA5,[1],[0.89769924]
ITGA9,[1],[0.89664334]
TRAF3,[1],[0.8963303]
GPC5,[1],[0.8962819]
SUMO1,[1],[0.89599746]
IL7R,[1],[0.8958616]
BRWD1,[1],[0.8958114]
EEF2K,[1],[0.8949628]
RASAL2,[1],[0.89439464]
ITGA2B,[1],[0.8941661]
GRM4,[1],[0.8938875]
MYD88,[1],[0.89323324]
PRKD1,[1],[0.8931192]
PIKFYVE,[1],[0.8929558]
PCSK1,[1],[0.8928673]
P3H1,[1],[0.8927025]
SPRY1,[1],[0.89252496]
C3,[1],[0.8925124]
PTGS2,[1],[0.8923377]
RRAS2,[1],[0.8922399]
WRN,[1],[0.89191794]
SRRM2,[1],[0.8904581]
RIMS1,[1],[0.8900395]
GOLGA4,[1],[0.8897504]
PDGFD,[1],[0.8884006]
PTPN13,[1],[0.8882808]
PTPRZ1,[1],[0.8881645]
S1PR3,[1],[0.8881268]
PRKCD,[1],[0.887612]
DOCK3,[1],[0.88720286]
CCR6,[1],[0.8867105]
RUNX1T1,[1],[0.8866884]
AGO2,[1],[0.88667446]
ADCY2,[1],[0.8864999]
TLE1,[1],[0.88611704]
RBBP7,[1],[0.8860082]
CUX1,[1],[0.8857402]
TNC,[1],[0.8856821]
NRXN3,[1],[0.88559955]
TPO,[1],[0.8849804]
GPC3,[1],[0.8841027]
DNAH10,[1],[0.8839142]
MITF,[1],[0.8832843]
CCR1,[1],[0.88299555]
CNOT1,[1],[0.88232225]
CHD3,[1],[0.8821748]
CHD8,[1],[0.8817056]
IL1RAP,[1],[0.8816158]
CDH23,[1],[0.88136023]
ITSN2,[1],[0.8811826]
IGF1,[1],[0.8807663]
KCNJ3,[1],[0.88068485]
DOCK1,[1],[0.8804223]
FLT4,[1],[0.87986535]
SALL4,[1],[0.8797069]
IRS4,[1],[0.8793881]
GRM7,[1],[0.87793374]
LEP,[1],[0.8777612]
CIT,[1],[0.8768901]
PLXNA3,[1],[0.87644035]
FANCD2,[1],[0.87636673]
DCHS1,[1],[0.8758178]
CACNA1C,[1],[0.8756527]
PDX1,[1],[0.8747708]
ERCC2,[1],[0.8745123]
CR1,[1],[0.8743334]
PARP1,[1],[0.87337655]
NOS1,[1],[0.87307286]
MYO5A,[1],[0.87307143]
RIPK2,[1],[0.8729874]
TNFSF10,[1],[0.87292993]
PRKCH,[1],[0.8726928]
EPS15,[1],[0.8723552]
SMAD9,[1],[0.8719179]
PLXNA2,[1],[0.87116194]
CHD9,[1],[0.8708499]
NFKB2,[1],[0.8707337]
RBPJ,[1],[0.8699188]
SHPRH,[1],[0.869684]
PIK3R3,[1],[0.86901116]
TBL1XR1,[1],[0.8683969]
CELSR2,[1],[0.86791253]
MMP16,[1],[0.8658789]
ITGA8,[1],[0.8657467]
TLE3,[1],[0.8656767]
MAP3K4,[1],[0.86469716]
CCND2,[1],[0.8646536]
NTF3,[1],[0.8641332]
POMC,[1],[0.86409897]
TAF6,[1],[0.86344415]
FGF10,[1],[0.8625367]
EP400,[1],[0.8620217]
HLA-DQA2,[1],[0.86195064]
ITGA11,[1],[0.86194426]
RPS6KA5,[1],[0.86193585]
DOCK4,[1],[0.8617901]
KANSL1,[1],[0.8616483]
RPS6KA2,[1],[0.8610834]
FRS2,[1],[0.8610414]
KMT2E,[1],[0.8595956]
CPB2,[1],[0.8588996]
EDN3,[1],[0.85840803]
YY1,[1],[0.8583394]
TXNIP,[1],[0.8582212]
SH2B3,[1],[0.85693884]
KALRN,[1],[0.8565383]
DLG2,[1],[0.8563292]
PPP2R2B,[1],[0.85606027]
CTNNA3,[1],[0.8559682]
RBBP4,[1],[0.85584676]
MYH6,[1],[0.85558665]
ABCB1,[1],[0.85491323]
THRA,[1],[0.85472196]
FADD,[1],[0.8542482]
NFATC3,[1],[0.8539664]
ITGA2,[1],[0.8536229]
LEPR,[1],[0.8533849]
SNAP23,[1],[0.85297686]
PCK1,[1],[0.8519318]
ROBO2,[1],[0.8518256]
ZBTB17,[1],[0.85136306]
TAB2,[1],[0.8510573]
HIF3A,[1],[0.85056335]
CACNA1A,[1],[0.85007656]
COL1A2,[1],[0.849613]
CLTC,[1],[0.8494076]
IL6,[1],[0.848802]
YWHAB,[1],[0.8487891]
LAT,[1],[0.8482813]
AHCTF1,[1],[0.8474432]
TAB1,[1],[0.84739834]
AXIN2,[1],[0.8472766]
NGF,[1],[0.84713197]
CCR5,[1],[0.8465188]
DIAPH2,[1],[0.84649587]
PTCH1,[1],[0.8457994]
RXRG,[1],[0.8451973]
FANCM,[1],[0.84510314]
PRKAR2B,[1],[0.84479326]
A1CF,[1],[0.8445282]
FLT3,[1],[0.8441429]
EGF,[1],[0.8440809]
TNFRSF1A,[1],[0.8439475]
RHOQ,[1],[0.8439359]
SHC2,[1],[0.8439003]
ITK,[1],[0.8438499]
SLX4,[1],[0.84363246]
FOXO1,[1],[0.8423835]
RASGRF2,[1],[0.84205145]
TBP,[1],[0.8414934]
PTPN1,[1],[0.8412572]
SREBF1,[1],[0.8410495]
UBE2I,[1],[0.84046143]
KEAP1,[1],[0.8402107]
MEF2C,[1],[0.8398297]
FAM20A,[1],[0.83941656]
HSPA8,[1],[0.83895814]
PCDH10,[1],[0.8386599]
TFDP2,[1],[0.8383527]
ITGA3,[1],[0.83812374]
TRAF2,[1],[0.8380531]
TICAM1,[1],[0.83665913]
EDNRB,[1],[0.8351156]
RAP1A,[1],[0.83483404]
PSMA2,[1],[0.8336451]
TEAD4,[1],[0.8335068]
POLE,[1],[0.83226436]
CCR3,[1],[0.83211094]
SFRP1,[1],[0.8316193]
AKT3,[1],[0.8309812]
GNG4,[1],[0.8305235]
ITGB6,[1],[0.8304244]
P4HA3,[1],[0.8303982]
MAPK10,[1],[0.8302233]
FGF6,[1],[0.8301815]
EGR1,[1],[0.83017355]
ITGA10,[1],[0.8292516]
PSMD2,[1],[0.8289945]
NRIP1,[1],[0.82875013]
ATP2B3,[1],[0.828742]
FZD4,[1],[0.82837987]
MYC,[1],[0.82833254]
GSN,[1],[0.8283308]
PLAUR,[1],[0.828151]
EPHB1,[1],[0.82770485]
TSC1,[1],[0.82678413]
RMI2,[1],[0.8264206]
UBE2B,[1],[0.8263]
TNR,[1],[0.82616454]
NOS3,[1],[0.8249351]
PRKACB,[1],[0.8248083]
AR,[1],[0.8246955]
KCNJ5,[1],[0.8244063]
NR3C1,[1],[0.82319707]
