Gene,Predicted Label,Probability
CTTNBP2,[1],[0.77774227]
FLNC,[1],[0.77763855]
SPTBN2,[1],[0.7772769]
AFF1,[1],[0.7755248]
ACTN4,[1],[0.77521425]
BCOR,[1],[0.7748836]
SMARCA1,[1],[0.7742885]
NR3C1,[1],[0.7732495]
MAP2K4,[1],[0.7730962]
DYRK1A,[1],[0.7720884]
SCNN1B,[1],[0.7719863]
SCD,[1],[0.77150047]
SYCP2,[1],[0.7714367]
VDR,[1],[0.7711491]
SMARCA2,[1],[0.77111673]
PCDH18,[1],[0.77009135]
RPL13,[1],[0.76958156]
PTPRJ,[1],[0.76936233]
TSC1,[1],[0.76926047]
LRP6,[1],[0.76924527]
DLG2,[1],[0.76870084]
JAK2,[1],[0.7686047]
DOT1L,[1],[0.76809084]
WDR33,[1],[0.7680064]
EPHA7,[1],[0.76706237]
RNF43,[1],[0.76666754]
BRWD1,[1],[0.76547986]
BAZ1B,[1],[0.7653013]
TSC2,[1],[0.7652665]
BCHE,[1],[0.76500195]
TAB3,[1],[0.7642876]
ITGA1,[1],[0.76411563]
PC,[1],[0.763778]
AGO1,[1],[0.763621]
PTK2,[1],[0.7634327]
BRD4,[1],[0.7627199]
USP6,[1],[0.7624893]
ITGA2,[1],[0.76172876]
CAV1,[1],[0.7616601]
ROBO2,[1],[0.7611248]
STAT1,[1],[0.7599023]
CDC42BPA,[1],[0.7592836]
PCDH7,[1],[0.75905246]
CCND2,[1],[0.75881666]
HIF1A,[1],[0.7587675]
AP2B1,[1],[0.75802565]
BCORL1,[1],[0.75800055]
BOC,[1],[0.7579013]
TPO,[1],[0.7578923]
KNTC1,[1],[0.75783265]
KIT,[1],[0.7577343]
MPRIP,[1],[0.757292]
CLASP1,[1],[0.7568707]
MYH4,[1],[0.75614285]
LAMA4,[1],[0.75590694]
MEGF10,[1],[0.7546131]
ADCY9,[1],[0.7542739]
EXOC4,[1],[0.75330085]
GRM1,[1],[0.75294113]
HDAC2,[1],[0.75290024]
YWHAZ,[1],[0.7525556]
XRCC5,[1],[0.7523896]
SEC16A,[1],[0.75225276]
PCBP1,[1],[0.7519555]
SEMA6D,[1],[0.7517573]
KCNA5,[1],[0.75166357]
PDGFRB,[1],[0.7505542]
SBF2,[1],[0.75026906]
PTCH1,[1],[0.750169]
EIF4G1,[1],[0.74982965]
MAGI3,[1],[0.7493722]
PLXNA3,[1],[0.7492289]
ASCC3,[1],[0.74916]
ADCY8,[1],[0.74896336]
TUBA1B,[1],[0.7486863]
SUPT16H,[1],[0.74856204]
NRP1,[1],[0.7479128]
VMP1,[1],[0.7467566]
TIAM1,[1],[0.7463877]
ALB,[1],[0.746047]
FGFR1,[1],[0.7450961]
JUN,[1],[0.7450607]
NTRK3,[1],[0.7449256]
LEF1,[1],[0.74422777]
ARFGEF1,[1],[0.7432576]
MYO5A,[1],[0.7425368]
ASAP1,[1],[0.7421137]
ADCY2,[1],[0.7406184]
CDKN1B,[1],[0.74026936]
DLG1,[1],[0.7398164]
NCAPD3,[1],[0.73936045]
SLITRK5,[1],[0.73771125]
SYT1,[1],[0.7375436]
EPHB2,[1],[0.7370557]
CELSR2,[1],[0.73683673]
ITGA7,[1],[0.7361758]
PTK2B,[1],[0.7358864]
CEP135,[1],[0.73565555]
SOX17,[1],[0.73497015]
ATP1A1,[1],[0.7348996]
ZFYVE26,[1],[0.73453104]
IGSF1,[1],[0.7341947]
SOX2,[1],[0.7339179]
SLIT3,[1],[0.7331814]
DDX6,[1],[0.732801]
UPF2,[1],[0.7325225]
CTNND1,[1],[0.7323045]
DOCK3,[1],[0.7322342]
TLN2,[1],[0.73159593]
HIF3A,[1],[0.73151875]
AP2A2,[1],[0.7313387]
SV2A,[1],[0.7312855]
FREM1,[1],[0.730362]
LCP2,[1],[0.73013014]
ACACB,[1],[0.72983325]
SMARCC2,[1],[0.729439]
KIF1A,[1],[0.72933555]
NIN,[1],[0.7291712]
PLCG1,[1],[0.72909397]
TFAP2A,[1],[0.7274522]
ATP2B3,[1],[0.7273088]
TUBB4A,[1],[0.72693545]
EIF3A,[1],[0.72678465]
EPS15,[1],[0.7264158]
SMC4,[1],[0.7255154]
CDH3,[1],[0.7251847]
ERC1,[1],[0.7251772]
CALR,[1],[0.7249919]
ROR2,[1],[0.7249149]
ITGA2B,[1],[0.72466666]
KLK3,[1],[0.7245071]
ITSN2,[1],[0.7242808]
ITGA4,[1],[0.72280145]
GNG11,[1],[0.7226654]
SF3B3,[1],[0.72257984]
KCNJ16,[1],[0.7225521]
ACVR1B,[1],[0.7224024]
COL4A2,[1],[0.7217847]
SFRP1,[1],[0.7217573]
CACNA1A,[1],[0.72155845]
SMARCC1,[1],[0.72004265]
FGF10,[1],[0.71981335]
EPB41L3,[1],[0.71953756]
CTBP2,[1],[0.7192903]
CHL1,[1],[0.71915144]
MYOF,[1],[0.71890706]
FGF7,[1],[0.71886593]
PIKFYVE,[1],[0.7185173]
GOLGB1,[1],[0.7173927]
ANPEP,[1],[0.7168958]
PPARGC1A,[1],[0.71626395]
IRS4,[1],[0.7160649]
SH3KBP1,[1],[0.71599406]
SMC2,[1],[0.7159378]
EHMT1,[1],[0.71538264]
TLL1,[1],[0.71516216]
CEP170,[1],[0.7149005]
NID1,[1],[0.7139688]
LTF,[1],[0.71387756]
VAV3,[1],[0.7137609]
DOCK11,[1],[0.71370333]
CTNNA3,[1],[0.7136736]
NRG1,[1],[0.71329594]
MED15,[1],[0.7125065]
IRAK4,[1],[0.71250373]
RPH3A,[1],[0.71234447]
MSH2,[1],[0.7121846]
MDM2,[1],[0.71210736]
COL4A1,[1],[0.71176165]
NCKAP1,[1],[0.71126294]
PLA2R1,[1],[0.71111655]
CNTNAP2,[1],[0.7109606]
HIVEP2,[1],[0.7106417]
PLAU,[1],[0.71060383]
TXNRD1,[1],[0.7105472]
IGF1,[1],[0.7104487]
PRKD1,[1],[0.71011454]
CR1,[1],[0.7100021]
PALLD,[1],[0.70816547]
GTF3C1,[1],[0.70808405]
COL9A2,[1],[0.7075882]
