Gene,Predicted Label,Probability
GTF2I,[1],[0.99853075]
CBX5,[1],[0.9985281]
MED29,[1],[0.9985141]
PCDH9,[1],[0.9985002]
AMOT,[1],[0.99849117]
PABPC1,[1],[0.99848866]
ZNF282,[1],[0.9984805]
TFAP2A,[1],[0.99847704]
ATP1A1,[1],[0.9984674]
VKORC1L1,[1],[0.9984659]
KCNB2,[1],[0.99844956]
ESRRG,[1],[0.9984403]
ISG15,[1],[0.99842346]
AXIN2,[1],[0.9984226]
SETDB2,[1],[0.9984199]
ELMO1,[1],[0.99841595]
PTH2R,[1],[0.9984023]
PARP14,[1],[0.998393]
SMARCA1,[1],[0.9983878]
STK4,[1],[0.998386]
EPS15,[1],[0.9983803]
ERCC1,[1],[0.9983778]
UBE2J1,[1],[0.99837226]
FIP1L1,[1],[0.99837095]
RUNX1T1,[1],[0.99836415]
ARNT,[1],[0.9983557]
SEMA7A,[1],[0.9983498]
PTCH1,[1],[0.99834526]
STRN,[1],[0.99834096]
TRAF3,[1],[0.99833727]
PLG,[1],[0.9983286]
TPPP,[1],[0.9983278]
NUP214,[1],[0.9983273]
RAF1,[1],[0.99832374]
ASPH,[1],[0.9983216]
WNT5B,[1],[0.9983182]
WDR33,[1],[0.99831367]
CAND1,[1],[0.99830127]
TCEA1,[1],[0.99829525]
LMO7,[1],[0.9982924]
LSM14A,[1],[0.9982886]
POLD1,[1],[0.99828774]
RMI2,[1],[0.9982862]
VPS36,[1],[0.99828476]
PGK1,[1],[0.9982767]
LPAR1,[1],[0.9982596]
WIF1,[1],[0.9982462]
CLASP1,[1],[0.9982438]
SREBF2,[1],[0.9982405]
MAML1,[1],[0.9982346]
SPP1,[1],[0.9982297]
CDC73,[1],[0.99822384]
FGG,[1],[0.9982237]
TPO,[1],[0.99822325]
FKBP9,[1],[0.99821824]
PKD1,[1],[0.99821043]
ARHGAP31,[1],[0.9982101]
POT1,[1],[0.99820733]
ZNF37A,[1],[0.9982033]
GSK3B,[1],[0.9981912]
SERBP1,[1],[0.9981785]
HIVEP2,[1],[0.99815696]
KDR,[1],[0.9981548]
SNRPN,[1],[0.99815124]
PCBP1,[1],[0.9981502]
MCC,[1],[0.9981426]
OGT,[1],[0.99807227]
POU5F1,[1],[0.9980709]
ANAPC5,[1],[0.998064]
DDX17,[1],[0.9980635]
MAF,[1],[0.99806136]
ACTN1,[1],[0.9980426]
ZMPSTE24,[1],[0.9980386]
TCN2,[1],[0.99803776]
BPTF,[1],[0.9980276]
CTNND1,[1],[0.99802375]
TOPBP1,[1],[0.9980227]
GBF1,[1],[0.9980147]
RPN2,[1],[0.99800557]
RXRA,[1],[0.9980027]
PDS5B,[1],[0.9979944]
NFE2L2,[1],[0.9979869]
LPA,[1],[0.99797624]
MIF,[1],[0.99796873]
EZH2,[1],[0.9979665]
FLI1,[1],[0.9979652]
TACC1,[1],[0.99795294]
DNMT3A,[1],[0.9979473]
MUC6,[1],[0.99793845]
TPM1,[1],[0.9979323]
SRSF10,[1],[0.997929]
KRT80,[1],[0.9979159]
CCL2,[1],[0.99790764]
ITGB3,[1],[0.9978933]
SLC19A1,[1],[0.9978879]
OLFM4,[1],[0.9978834]
HOXC9,[1],[0.9978807]
ROBO2,[1],[0.9978757]
SS18,[1],[0.99786407]
WWOX,[1],[0.9978467]
DDX23,[1],[0.9978389]
PCDHB2,[1],[0.9978308]
ACVR1B,[1],[0.99781966]
YIF1A,[1],[0.9978142]
PLD3,[1],[0.9977919]
BMPR1A,[1],[0.99778014]
