Gene,Predicted Label,Probability
KAT2B,[1],[0.791589]
JAG1,[1],[0.79142594]
CREB3L3,[1],[0.7910398]
TFDP2,[1],[0.79089504]
FCGR3A,[1],[0.7906261]
GRM6,[1],[0.78963286]
ITCH,[1],[0.789415]
AURKB,[1],[0.78938454]
FGF7,[1],[0.7893514]
PTCH1,[1],[0.78928125]
LEF1,[1],[0.7886621]
TAL1,[1],[0.78798044]
LPAR3,[1],[0.7879652]
IL5RA,[1],[0.7872551]
SHH,[1],[0.7872519]
AURKA,[1],[0.7871491]
VEGFA,[1],[0.7869899]
NPY,[1],[0.78673905]
BCL2,[1],[0.7866316]
ZBTB16,[1],[0.78629184]
GCK,[1],[0.78609246]
CDC20,[1],[0.7858359]
RB1CC1,[1],[0.78573966]
IRAK4,[1],[0.7857277]
CLASP1,[1],[0.7855761]
AVPR1A,[1],[0.78514147]
TSC1,[1],[0.7850062]
CD4,[1],[0.78482425]
IL2RA,[1],[0.7847977]
MITF,[1],[0.78438973]
ORC1,[1],[0.78337526]
CD40LG,[1],[0.78329283]
RICTOR,[1],[0.7832383]
HLA-DQA2,[1],[0.78240013]
TOPBP1,[1],[0.7817004]
WNT5A,[1],[0.7816689]
TAB3,[1],[0.78151524]
HTR1B,[1],[0.78106225]
MMP16,[1],[0.78062695]
MYL3,[1],[0.7805954]
TLL1,[1],[0.78056324]
AP2B1,[1],[0.7805008]
FRZB,[1],[0.78038967]
CHD8,[1],[0.78035474]
AGTR1,[1],[0.77970564]
ACTA1,[1],[0.77941597]
CDC42,[1],[0.7792897]
EXOC4,[1],[0.7786893]
GNG12,[1],[0.7786165]
KCNJ3,[1],[0.7785574]
ITGA10,[1],[0.7780827]
GATA2,[1],[0.77795637]
SCTR,[1],[0.77795386]
PAK2,[1],[0.7779233]
MAPT,[1],[0.77772665]
EPHB6,[1],[0.7776344]
DRD1,[1],[0.77745855]
NRXN1,[1],[0.77740526]
MED13L,[1],[0.77740204]
ABL1,[1],[0.77708167]
OSMR,[1],[0.7769233]
GRIA3,[1],[0.77687246]
GNAO1,[1],[0.7768218]
CR1,[1],[0.77672344]
RAF1,[1],[0.7767199]
COL3A1,[1],[0.7767005]
SALL4,[1],[0.7766811]
RAC3,[1],[0.7764588]
SUPT5H,[1],[0.7764217]
NUP98,[1],[0.7760633]
EFNB1,[1],[0.77571523]
BRIP1,[1],[0.7754616]
GNB5,[1],[0.7751146]
CHRM1,[1],[0.7750338]
GRM7,[1],[0.775016]
RBBP7,[1],[0.7749886]
IL12B,[1],[0.77451646]
SPTBN5,[1],[0.7742654]
IL2RG,[1],[0.7739631]
SMG1,[1],[0.7738021]
STAT5A,[1],[0.77367735]
CSF2RA,[1],[0.7734698]
BMPR1B,[1],[0.7734241]
COL9A1,[1],[0.7734095]
HLA-DPB1,[1],[0.7731395]
TLR8,[1],[0.77284926]
EPO,[1],[0.772732]
GRIK1,[1],[0.7726601]
SPTB,[1],[0.7725093]
PRKCZ,[1],[0.77232224]
PTGDR,[1],[0.7717535]
SHPRH,[1],[0.7716314]
TRPA1,[1],[0.771618]
GRIK3,[1],[0.7714669]
PRSS1,[1],[0.7713056]
MUC6,[1],[0.7711982]
WNK3,[1],[0.77084935]
YAP1,[1],[0.77069443]
DOCK3,[1],[0.77039325]
MAGI2,[1],[0.77024674]
PTGER3,[1],[0.7693736]
STAT5B,[1],[0.7689594]
VEGFC,[1],[0.7686103]
EPHA7,[1],[0.76843023]
ITGAM,[1],[0.7682212]
DOCK7,[1],[0.76790446]
WNT5B,[1],[0.7678293]
CSF1R,[1],[0.76752496]
VAMP2,[1],[0.7671474]
MMP14,[1],[0.7668335]
HLA-DRA,[1],[0.7667892]
F5,[1],[0.7664063]
NCOA6,[1],[0.7653178]
RPS6KA6,[1],[0.76516604]
ATF7IP,[1],[0.7651524]
RUNX3,[1],[0.76472723]
CAMK2B,[1],[0.76455855]
PARP1,[1],[0.7638779]
HCFC1,[1],[0.76377827]
GNAZ,[1],[0.763471]
REL,[1],[0.76344806]
CUL4B,[1],[0.763401]
ITGA11,[1],[0.7630564]
PTGS2,[1],[0.76273644]
MYL2,[1],[0.7625138]
FBXO17,[1],[0.7614232]
C5,[1],[0.7609499]
SFRP5,[1],[0.7606976]
MMP3,[1],[0.7602197]
PIK3R5,[1],[0.76010364]
CNTRL,[1],[0.7596649]
RECK,[1],[0.7596135]
VTN,[1],[0.7594499]
PDGFD,[1],[0.75890446]
CACNA1G,[1],[0.7584616]
ACTC1,[1],[0.75824714]
TYK2,[1],[0.7582025]
MAP2K1,[1],[0.7578714]
ATF2,[1],[0.7574268]
E2F3,[1],[0.7573334]
WNT7A,[1],[0.7573262]
HSPA1B,[1],[0.75706303]
CCNE2,[1],[0.75699806]
BOC,[1],[0.7569509]
CNTFR,[1],[0.7567637]
ZNF521,[1],[0.75664634]
CBLB,[1],[0.7565998]
GNAQ,[1],[0.7562686]
USP6,[1],[0.7559716]
MST1R,[1],[0.7554454]
IKBKG,[1],[0.75530875]
SFRP4,[1],[0.75519574]
WDR33,[1],[0.7549344]
SGK1,[1],[0.7549239]
HDAC1,[1],[0.7545926]
MYO3A,[1],[0.7544121]
E2F1,[1],[0.75407445]
CCNE1,[1],[0.7537196]
MAGI1,[1],[0.75362295]
VAV2,[1],[0.7534194]
CTNND1,[1],[0.75313044]
NOS2,[1],[0.7531273]
PDE3A,[1],[0.7530443]
RAPGEF4,[1],[0.7530109]
THBS2,[1],[0.75292045]
YES1,[1],[0.7528196]
CRK,[1],[0.75276166]
EDNRB,[1],[0.7524568]
ARNT,[1],[0.7520975]
EGLN3,[1],[0.75208306]
EREG,[1],[0.7519647]
ACACB,[1],[0.7518627]
EGR1,[1],[0.7513854]
IL33,[1],[0.75125486]
NUP155,[1],[0.7504522]
EDNRA,[1],[0.7501275]
