Gene,Predicted Label,Probability
ADCY1,[1],[0.8207111]
YAP1,[1],[0.82069165]
NUP205,[1],[0.8205594]
USP6,[1],[0.81928587]
AKT3,[1],[0.81914127]
RAP1B,[1],[0.818921]
ASXL2,[1],[0.8186244]
SMARCC2,[1],[0.8186135]
SIPA1L1,[1],[0.8178453]
PAK2,[1],[0.81780356]
RBL1,[1],[0.817716]
SLC8A1,[1],[0.8163041]
VCAM1,[1],[0.8162519]
PIK3R2,[1],[0.8161967]
NCOA6,[1],[0.81609684]
PKD1,[1],[0.81602293]
DCC,[1],[0.8155692]
FPR2,[1],[0.81490004]
BCL2,[1],[0.8146853]
EZH2,[1],[0.81455827]
ITGA4,[1],[0.81414354]
CDKN1B,[1],[0.8138197]
FGG,[1],[0.8137995]
NCOA2,[1],[0.81343704]
TFRC,[1],[0.8132829]
CDH5,[1],[0.8130407]
CCNA1,[1],[0.81275135]
ITGAX,[1],[0.8115495]
ADAMTSL1,[1],[0.8112814]
TCF4,[1],[0.8112169]
PARD3,[1],[0.81120557]
IRAK1,[1],[0.8107235]
PLXNA3,[1],[0.81030756]
AGRN,[1],[0.80999804]
PLCE1,[1],[0.80960774]
SDC1,[1],[0.80925745]
PML,[1],[0.80913854]
CDC20,[1],[0.8091201]
CPS1,[1],[0.8081091]
ITGA6,[1],[0.80774766]
HSP90B1,[1],[0.8076875]
DLL1,[1],[0.80724514]
PDGFB,[1],[0.80716854]
BTK,[1],[0.8069977]
CACNA1H,[1],[0.80678934]
BSN,[1],[0.80671906]
NTRK1,[1],[0.80587995]
PENK,[1],[0.80581015]
PTPRF,[1],[0.80496526]
STAT5A,[1],[0.8047346]
CTNNA1,[1],[0.80441827]
LY96,[1],[0.80386686]
YES1,[1],[0.80344236]
ARHGAP35,[1],[0.8025466]
GON4L,[1],[0.8022016]
GNAI1,[1],[0.80166787]
PTPN6,[1],[0.8015752]
SHC1,[1],[0.80153453]
CSNK1D,[1],[0.80098003]
PPL,[1],[0.80093074]
FZD4,[1],[0.80078423]
ARHGAP5,[1],[0.80044746]
MYH1,[1],[0.79976285]
MSH2,[1],[0.79918844]
TSC2,[1],[0.7989219]
CXCL12,[1],[0.7989066]
CSNK1E,[1],[0.7985547]
INS,[1],[0.7983159]
LPL,[1],[0.79785377]
ITGA2B,[1],[0.7978261]
STX1A,[1],[0.7978063]
PTGER3,[1],[0.79678357]
ALDOA,[1],[0.7967822]
MYH8,[1],[0.7965722]
