Gene,Predicted Label,Probability
LAT2,[1],[0.9822188]
EIF3K,[1],[0.98201066]
FOXO4,[1],[0.9820067]
ADAR,[1],[0.98197687]
TNC,[1],[0.9819287]
QSOX1,[1],[0.9819226]
CD244,[1],[0.9818911]
SPTAN1,[1],[0.9818025]
HSPG2,[1],[0.9817504]
DOK1,[1],[0.98157287]
NUMB,[1],[0.9813954]
TNKS,[1],[0.98138773]
ZFPM1,[1],[0.98134494]
PPP1R14A,[1],[0.98130465]
RIPK3,[1],[0.98123336]
MAPK8IP3,[1],[0.9811055]
PPP1R3C,[1],[0.98109806]
TAF1C,[1],[0.9809738]
PPP2R2B,[1],[0.9809039]
KDM4A,[1],[0.98062974]
TIAL1,[1],[0.9805721]
USP33,[1],[0.98046565]
PTGDR,[1],[0.9803713]
NLK,[1],[0.980334]
NCAM1,[1],[0.980182]
IQGAP1,[1],[0.98013914]
AMPH,[1],[0.9800305]
FXR1,[1],[0.9800299]
PRICKLE1,[1],[0.9798568]
MUC5B,[1],[0.9798487]
TIAM2,[1],[0.9797829]
COL4A3,[1],[0.9795616]
PIK3CG,[1],[0.97950804]
CRKL,[1],[0.9794855]
PTPRC,[1],[0.9792732]
FCER1A,[1],[0.9791246]
SMAD9,[1],[0.97869474]
CDH7,[1],[0.97855455]
MEIS1,[1],[0.9785039]
GABRG3,[1],[0.9784122]
ARID1B,[1],[0.9783587]
LIG3,[1],[0.97783]
SALL4,[1],[0.9774355]
ERCC1,[1],[0.9773946]
KCNJ16,[1],[0.9773287]
REL,[1],[0.9772309]
WIF1,[1],[0.9768124]
DVL2,[1],[0.9767181]
JMY,[1],[0.9766327]
CBX8,[1],[0.9765128]
SGK2,[1],[0.9759488]
HDAC5,[1],[0.9758428]
MYH13,[1],[0.9758129]
KIAA1549,[1],[0.97573674]
WDFY3,[1],[0.97571915]
RAD51C,[1],[0.9756526]
INPPL1,[1],[0.9755778]
NIPBL,[1],[0.97548884]
ZEB1,[1],[0.97496253]
HMGA2,[1],[0.97493637]
MAPK3,[1],[0.9749239]
HACL1,[1],[0.974922]
PTPN6,[1],[0.9748175]
MEF2C,[1],[0.97470236]
CBX4,[1],[0.9745953]
HDAC9,[1],[0.97427565]
PTPRZ1,[1],[0.97426796]
LAMA3,[1],[0.97414047]
PECAM1,[1],[0.9740622]
SPTBN2,[1],[0.9740373]
GNAZ,[1],[0.97397983]
TFDP1,[1],[0.973887]
PIK3CD,[1],[0.97364026]
NR1H2,[1],[0.9735414]
CLCN6,[1],[0.9735301]
HDAC10,[1],[0.973516]
UBB,[1],[0.9734865]
PDCD7,[1],[0.9734062]
PSME4,[1],[0.9731293]
FCGR2A,[1],[0.9730637]
PSME2,[1],[0.9730137]
RGS6,[1],[0.97279775]
CNTF,[1],[0.97274643]
TRIM31,[1],[0.97263473]
CDH6,[1],[0.97182196]
PTPN22,[1],[0.971705]
BAP1,[1],[0.97168624]
POLN,[1],[0.97162116]
FGR,[1],[0.9708673]
FCGR1A,[1],[0.9708336]
SI,[1],[0.97082675]
DPF3,[1],[0.97074014]
DNM2,[1],[0.9705914]
MYL4,[1],[0.970362]
MYO9A,[1],[0.97025865]
CD3G,[1],[0.9701086]
CD14,[1],[0.9699967]
IRAK3,[1],[0.9697105]
CSF2RB,[1],[0.96958244]
TCF7,[1],[0.96923244]
REV3L,[1],[0.969217]
SMAD5,[1],[0.96921366]
INHA,[1],[0.96907526]
COL21A1,[1],[0.9686723]
IL15RA,[1],[0.9685749]
TRRAP,[1],[0.9683898]
COL4A5,[1],[0.9682892]
SPTBN1,[1],[0.9680511]
MID1,[1],[0.9679194]
ETS2,[1],[0.9677721]
TAB3,[1],[0.9670805]
IL23A,[1],[0.9669721]
MSH3,[1],[0.9668897]
RBL1,[1],[0.9666618]
HBS1L,[1],[0.96627885]
CBX6,[1],[0.9661837]
IL12RB2,[1],[0.96595895]
ADAM12,[1],[0.96562004]
EHHADH,[1],[0.9655483]
CEBPA,[1],[0.9654844]
SLCO4C1,[1],[0.96540946]
MAX,[1],[0.9653814]
APBB1IP,[1],[0.9651631]
ARRB2,[1],[0.9650934]
RNF8,[1],[0.96505976]
PPP2R5B,[1],[0.9648792]
RGS1,[1],[0.96484196]
IL3RA,[1],[0.9645863]
PCDHA9,[1],[0.96458614]
AGO4,[1],[0.96427053]
AXIN2,[1],[0.96393937]
SPRY2,[1],[0.96337104]
POU2F1,[1],[0.96318626]
LOXL4,[1],[0.9628047]
TNFAIP3,[1],[0.96220684]
PKP4,[1],[0.9620419]
CASP8,[1],[0.9619832]
ANGPTL4,[1],[0.9618862]
S100A12,[1],[0.9618592]
CNKSR2,[1],[0.9617593]
HBEGF,[1],[0.96149737]
CACNA1E,[1],[0.9612731]
ELK1,[1],[0.96103585]
DNMT3A,[1],[0.96076816]
MAF,[1],[0.96070135]
P2RY1,[1],[0.96052885]
THRAP3,[1],[0.96047497]
KAT5,[1],[0.9604251]
AOC3,[1],[0.96019256]
CCND1,[1],[0.95979726]
EIF4A2,[1],[0.9597695]
FGF2,[1],[0.95965934]
DTX4,[1],[0.9595825]
UBD,[1],[0.95949197]
CEBPB,[1],[0.95913595]
DUSP2,[1],[0.95902425]
RNF5,[1],[0.958595]
FGF20,[1],[0.95856154]
MLH3,[1],[0.9581904]
CDON,[1],[0.95794713]
RAD17,[1],[0.957885]
PIK3C2A,[1],[0.9576581]
MYH9,[1],[0.95745754]
HSPA8,[1],[0.95717806]
CTSB,[1],[0.95713216]
RAPGEF1,[1],[0.9569766]
EYA2,[1],[0.9567472]
FLT3,[1],[0.95671946]
ELL,[1],[0.9565677]
ATRX,[1],[0.95641655]
TRPS1,[1],[0.95618343]
DYNC2H1,[1],[0.95611906]
LTBP1,[1],[0.9558723]
DMC1,[1],[0.95575106]
PSMB11,[1],[0.9556113]
NCOA6,[1],[0.95546454]
SOX17,[1],[0.9553344]
TLL1,[1],[0.9553304]
COL19A1,[1],[0.95479745]
TIAM1,[1],[0.9545959]
CACNA1D,[1],[0.95433766]
WTAP,[1],[0.9542533]
COL15A1,[1],[0.95415497]
SMG1,[1],[0.9541087]
FLNB,[1],[0.953731]
SSRP1,[1],[0.95341885]
RGS3,[1],[0.9533481]
DYNC1H1,[1],[0.95297694]
ITGB5,[1],[0.9529447]
KLRC2,[1],[0.9528929]
HTT,[1],[0.9528556]
GNAS,[1],[0.9525465]
SH3GL2,[1],[0.95187515]
NGFR,[1],[0.95173645]
HDAC11,[1],[0.9512428]
REPS2,[1],[0.95114475]
DPYSL4,[1],[0.95087415]
ASH1L,[1],[0.95080227]
OTUB1,[1],[0.9507868]
CSK,[1],[0.95001763]
SPRY3,[1],[0.95001495]
SRD5A1,[1],[0.9498031]
NR3C1,[1],[0.94957167]
MIB1,[1],[0.94924736]
ARID5B,[1],[0.94899285]
MEF2D,[1],[0.94895786]
MAP2,[1],[0.9488792]
POLE4,[1],[0.948304]
EGLN3,[1],[0.9482431]
GATA6,[1],[0.9481521]
CDH2,[1],[0.9473397]
COL22A1,[1],[0.94730777]
CRYBB2,[1],[0.9472047]
KALRN,[1],[0.94717574]
THBS1,[1],[0.9470143]
WNT6,[1],[0.946154]
IKBKE,[1],[0.9459463]
BTK,[1],[0.94540435]
NUMA1,[1],[0.94535005]
TNRC6A,[1],[0.94484466]
KCNJ6,[1],[0.9448278]
P2RY2,[1],[0.9447569]
RUNX2,[1],[0.94464487]
IL1A,[1],[0.94441485]
WNT7B,[1],[0.94438666]
GNAO1,[1],[0.9441891]
EPAS1,[1],[0.9437582]
YWHAE,[1],[0.943681]
FLRT3,[1],[0.9436019]
SH3GL3,[1],[0.9434919]
CDKN1B,[1],[0.94336754]
PCNA,[1],[0.9432575]
ABL1,[1],[0.94308287]
RANBP2,[1],[0.9429847]
PSME1,[1],[0.9428933]
UBC,[1],[0.9428412]
WRN,[1],[0.94281757]
IGF2R,[1],[0.94268024]
ASXL1,[1],[0.94243306]
GPR65,[1],[0.9422893]
CD28,[1],[0.9421929]
SPI1,[1],[0.94214505]
KRT31,[1],[0.94185746]
SEC11C,[1],[0.9413372]
TP53BP1,[1],[0.9411591]
FBLN2,[1],[0.940999]
F11R,[1],[0.9409432]
SMC3,[1],[0.9408186]
MYCBP2,[1],[0.9404562]
CNKSR1,[1],[0.93998337]
IL12B,[1],[0.93990016]
RDX,[1],[0.93966746]
ESCO2,[1],[0.9395271]
RPS6KA4,[1],[0.9392409]
BRCA2,[1],[0.93921435]
EEF1A1,[1],[0.9388639]
DNAH1,[1],[0.93865085]
CHD7,[1],[0.93859446]
PAXIP1,[1],[0.9385182]
COL6A3,[1],[0.93819016]
ALDH3B1,[1],[0.93809384]
PLEKHA7,[1],[0.9375305]
CENPF,[1],[0.9374374]
HSPB1,[1],[0.93706495]
IL5RA,[1],[0.93703353]
NTRK3,[1],[0.9369866]
JAK3,[1],[0.936879]
PPP2R5A,[1],[0.9366625]
TARM1,[1],[0.93643093]
ZRSR2,[1],[0.9363583]
PIAS4,[1],[0.936349]
XPA,[1],[0.9362787]
RGR,[1],[0.9362182]
TLR6,[1],[0.936137]
METTL3,[1],[0.9358303]
SQSTM1,[1],[0.9357772]
CTNNA2,[1],[0.9356891]
MET,[1],[0.93567795]
GNA14,[1],[0.9353116]
TRIM25,[1],[0.9353103]
SGIP1,[1],[0.93524367]
TAF1B,[1],[0.9350661]
HMGB1,[1],[0.93501616]
TNFRSF25,[1],[0.9349547]
CDH10,[1],[0.93479604]
FOXM1,[1],[0.9345845]
PAK3,[1],[0.9345598]
CANT1,[1],[0.93404454]
SCN1A,[1],[0.9339818]
DAB1,[1],[0.9336]
PIK3R5,[1],[0.933393]
ZSWIM7,[1],[0.93291694]
HLA-A,[1],[0.93275666]
CAV1,[1],[0.9327273]
CHD8,[1],[0.9326671]
TBX3,[1],[0.93257195]
SUV39H1,[1],[0.93256277]
FBP1,[1],[0.9316296]
TNFSF12,[1],[0.93162143]
TCF7L2,[1],[0.9314526]
OSM,[1],[0.93139434]
CDK12,[1],[0.931387]
TBC1D8B,[1],[0.93133664]
PPP1CA,[1],[0.93125147]
B3GNT4,[1],[0.931136]
FANCD2,[1],[0.9311132]
PAK2,[1],[0.9310997]
PRSS23,[1],[0.9310083]
RAD23B,[1],[0.93032736]
PCF11,[1],[0.9303074]
TP63,[1],[0.92978084]
SRD5A2,[1],[0.929699]
ENTPD4,[1],[0.929689]
METTL14,[1],[0.9295838]
CPT1A,[1],[0.9293725]
EML4,[1],[0.9292506]
TCF7L1,[1],[0.92907417]
ROR2,[1],[0.9287435]
PLN,[1],[0.9285272]
PTPRA,[1],[0.9282874]
PPARGC1B,[1],[0.92825955]
ZFYVE26,[1],[0.9280958]
PTPRD,[1],[0.92799675]
MED12,[1],[0.9279185]
IWS1,[1],[0.9278181]
SEMA6D,[1],[0.92779446]
RNF168,[1],[0.92769665]
P2RY6,[1],[0.9275021]
HPGDS,[1],[0.92737573]
EFNB1,[1],[0.927134]
GFRA3,[1],[0.92689407]
GRIK3,[1],[0.9267864]
PEBP1,[1],[0.9265109]
NFKB2,[1],[0.9262474]
IL6ST,[1],[0.92582923]
RXRG,[1],[0.92574096]
FGF10,[1],[0.92566925]
NOD2,[1],[0.9250382]
EPHA2,[1],[0.9249717]
COL12A1,[1],[0.92468363]
GRB7,[1],[0.9245462]
HOXA7,[1],[0.92420596]
MMP3,[1],[0.9241785]
DECR1,[1],[0.9239022]
IL37,[1],[0.9238324]
TFAP2A,[1],[0.9235917]
LRPPRC,[1],[0.9235132]
IRF5,[1],[0.92337054]
PYGO2,[1],[0.9231167]
LEPR,[1],[0.9229149]
COL5A3,[1],[0.9227871]
FNBP1,[1],[0.922733]
PSPN,[1],[0.9225224]
CABIN1,[1],[0.9223127]
RNF213,[1],[0.9222985]
TEAD3,[1],[0.92226267]
EXT1,[1],[0.9222202]
TGFBR3,[1],[0.9222047]
RRN3,[1],[0.92194784]
BPTF,[1],[0.9217912]
CHRDL1,[1],[0.9217405]
ADAM15,[1],[0.9215084]
